permit_number,permit_type,permit_type_definition,permit_creation_date,block,lot,street_number,street_name,street_suffix,description,status,status_date,filed_date,issued_date,number_of_existing_stories,number_of_proposed_stories,estimated_cost,revised_cost,existing_use,existing_units,proposed_use,proposed_units,plansets,existing_occupancy,proposed_occupancy,existing_construction_type,existing_construction_type_description,proposed_construction_type,proposed_construction_type_description,supervisor_district,last_permit_activity_date,neighborhoods_analysis_boundaries,zipcode,application_submission_method,location/type,location/coordinates/0,location/coordinates/1,adu,record_id,primary_address_flag,point_source,data_as_of,data_loaded_at,unit,fire_only_permit,structural_notification,unit_suffix,street_number_suffix,completed_date,site_permit
202309076137,8,otc alterations permit,2023-09-07T15:34:21.000,2802,023,4378,23rd,St,in-kind remodeling of 1 bathroom(s) in 1st fl with 1 shower pan(s).,issued,2023-09-07T15:35:41.000,2023-09-07T15:34:21.000,2023-09-07T15:35:41.000,2,2,15400,15400,2 family dwelling,2,2 family dwelling,2,0,R-3,R-3,5,wood frame (5),5,wood frame (5),8,2023-09-07T15:34:22.000,Noe Valley,94114,website,Point,-122.440264569,37.752774715,N,1677797144561,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,,,,,,
202309076102,8,otc alterations permit,2023-09-07T12:27:23.000,0680,031,1715,Pierce,St,apt 1: replace 2 full frame patio door and 4 window inserts in (e) frame. new fiberglass.,issued,2023-09-07T15:44:26.000,2023-09-07T12:27:24.000,2023-09-07T15:44:26.000,3,3,19000,19000,apartments,3,apartments,3,0,R-2,R-2,5,wood frame (5),5,wood frame (5),2,2023-09-07T15:21:16.000,Pacific Heights,94115,in-house,Point,-122.436867151,37.785953463,N,1677757289065,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,1,,,,,,
202309076101,8,otc alterations permit,2023-09-07T12:25:12.000,2482,028,320,Wawona,St,replace 1 window in-kind. new vinyl. 2 doors in kind. new fiberglass on lower level at rear. not street visible.,issued,2023-09-07T15:43:13.000,2023-09-07T12:25:12.000,2023-09-07T15:43:13.000,3,3,14361,14361,1 family dwelling,1,1 family dwelling,1,0,R-3,R-3,5,wood frame (5),5,wood frame (5),7,2023-09-07T15:22:20.000,West of Twin Peaks,94127,in-house,Point,-122.470170056,37.738394249,N,1677756137861,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,,,,,,
202309076076,8,otc alterations permit,2023-09-07T10:40:22.000,7116,048,352,Head,St,new underground for combo system in new single family dwelling & adu,filed,2023-09-07T10:40:22.000,2023-09-07T10:40:22.000,,,3,4000,0,,,2 family dwelling,2,2,,R-3,,,5,wood frame (5),11,2023-09-07T10:44:47.000,Oceanview/Merced/Ingleside,94132,in-house,Point,-122.464115134,37.713454263,N,1677729517986,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,Y,,,,,
202309076073,8,otc alterations permit,2023-09-07T10:30:45.000,0581,056,2632,Fillmore,St,"upgrade existing fire alarm system to comply with sffc section 1103.7.6.1, ref sprinkler# 9501730",issued,2023-09-07T13:38:12.000,2023-09-07T10:30:45.000,2023-09-07T13:38:12.000,4,4,26000,26000,apartments,6,apartments,6,2,R-2,R-2,5,wood frame (5),5,wood frame (5),2,2023-09-07T13:35:54.000,Pacific Heights,94115,in-house,Point,-122.434597841,37.793867617,N,1677726256212,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,1,Y,,,,,
202309076077,3,additions alterations or repairs,2023-09-07T00:00:00.000,7046A,008,201,Ottawa,Av,legalize rental unit on first floor.per oridinance 43-14.,filed,2023-09-07T10:47:32.000,2023-09-07T10:47:32.000,,2,2,25000,,1 family dwelling,1,2 family dwelling,2,2,R-3,R-3,5,wood frame (5),5,wood frame (5),11,2023-09-07T11:08:32.000,Outer Mission,94112,in-house,Point,-122.447226038,37.716246063,N,1677730219030,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,,,,,,
202309076116,8,otc alterations permit,2023-09-07T00:00:00.000,3653,016,442,Elizabeth,St,unit #7: replace kitchen cabinets with new (10 x 14). install new counter tops and flooring in kitchen. install new tiles on bathroom walls and floor. no structural work. no wall modifications. no change in fixture location.,issued,2023-09-07T15:09:36.000,2023-09-07T13:48:48.000,2023-09-07T15:09:36.000,2,2,30000,41104,apartments,8,apartments,8,0,R-2,R-2,5,wood frame (5),5,wood frame (5),8,2023-09-07T15:02:38.000,Noe Valley,94114,in-house,Point,-122.430809279,37.752539425,N,1677772164124,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,,,,,,
202309076038,8,otc alterations permit,2023-09-07T00:00:00.000,4991,640,101,Seal Cove,Tr,"maintence of existing exterior walls, stucco, waterproof, roof maintenance all repairs to be done same in kind of existing. not street visible.",issued,2023-09-07T08:47:16.000,2023-09-07T07:47:10.000,2023-09-07T08:47:16.000,3,3,35000,35000,apartments,4,apartments,4,0,R-2,R-2,3,constr type 3,3,constr type 3,10,2023-09-07T08:39:16.000,Bayview Hunters Point,94134,in-house,Point,-122.394721408,37.711804727,N,1677689482826,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,0,,,,,,
202309076094,8,otc alterations permit,2023-09-07T00:00:00.000,3620,058,3649,21st,St,"repair dryrot in front of house, not to exceed 120 square feet",issued,2023-09-07T13:29:17.000,2023-09-07T12:06:51.000,2023-09-07T13:29:17.000,3,3,3000,3000,1 family dwelling,1,1 family dwelling,1,0,R-3,R-3,5,wood frame (5),5,wood frame (5),8,2023-09-07T13:25:29.000,Noe Valley,94114,in-house,Point,-122.428933833,37.756183974,N,1677748162614,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,,,,,,
202309076136,8,otc alterations permit,2023-09-07T00:00:00.000,0946,022,2673,Filbert,St,rebuild deck in kind 10' x 12' rebuild after reroof  (reroof done under a separate permit),filed,2023-09-07T15:33:04.000,2023-09-07T15:33:04.000,,3,3,5000,0,apartments,3,apartments,3,0,R-2,R-2,5,wood frame (5),5,wood frame (5),2,2023-09-07T15:39:20.000,Marina,94123,in-house,Point,-122.44339,37.796753,N,1677798238334,Y,eas_address_point,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,,,,,,
202309076044,8,otc alterations permit,2023-09-07T00:00:00.000,2401,037,1447,Taraval,St,reroofing,issued,2023-09-07T09:10:36.000,2023-09-07T08:09:17.000,2023-09-07T09:10:36.000,2,2,25800,25800,2 family dwelling,2,2 family dwelling,2,0,R-3,R-3,5,wood frame (5),5,wood frame (5),4,2023-09-07T08:58:52.000,Sunset/Parkside,94116,in-house,Point,-122.4818267,37.742532697,N,1677697453033,,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,,,,,,
202309076105,8,otc alterations permit,2023-09-07T00:00:00.000,1739,025,1046,Irving,St,"convert vacant office (b occupancy) to sandwich shop (b occupancy). provide new flooring, ceiling and lighting. add missing handril at ramp. change of use.",filed,2023-09-07T12:37:00.000,2023-09-07T12:37:00.000,,3,3,75500,0,office,4,food/beverage hndlng,4,2,"B,R-2","B,R-2",5,wood frame (5),5,wood frame (5),7,2023-09-07T13:07:00.000,Inner Sunset,94122,in-house,Point,-122.469219862,37.764159431,N,1677760451396,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,,,,,,
202309076138,8,otc alterations permit,2023-09-07T00:00:00.000,4022,011,2080,Bryant,St,comply with internal dbi audit nov #202303040: replace (e) rear stairway in-kind.,filed,2023-09-07T15:35:23.000,2023-09-07T15:35:23.000,,2,2,2000,0,2 family dwelling,2,2 family dwelling,2,2,R-3,R-3,5,wood frame (5),5,wood frame (5),9,2023-09-07T15:56:02.000,Mission,94110,in-house,Point,-122.410290559,37.760731395,N,1677799168813,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,,,,,,
202309076074,8,otc alterations permit,2023-09-07T00:00:00.000,6938,035,450,Faxon,Av,in kind repair of front stair.,filed,2023-09-07T10:32:29.000,2023-09-07T10:32:29.000,,2,2,8000,8000,1 family dwelling,1,1 family dwelling,1,2,R-3,R-3,5,wood frame (5),5,wood frame (5),11,2023-09-07T11:18:07.000,Oceanview/Merced/Ingleside,94112,in-house,Point,-122.459911653,37.722776913,N,1677727214625,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,,,,,,
202309076078,8,otc alterations permit,2023-09-07T00:00:00.000,4229,002,1201,Minnesota,St,1/f: changeout (400) fire sprinklers per nfpa 13 head age limit. voluntary upgrade to seismic bracing to meet nfpa 13 2022.,issued,2023-09-07T14:04:19.000,2023-09-07T10:57:36.000,2023-09-07T14:04:19.000,1,1,96068,96068,manufacturing,,manufacturing,,2,F-1,F-1,5,wood frame (5),5,wood frame (5),10,2023-09-07T13:59:19.000,Potrero Hill,94107,in-house,Point,-122.389446948,37.754939657,N,1677731172513,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,Y,,,,,
202309076062,8,otc alterations permit,2023-09-07T00:00:00.000,3567,057,333,Dolores,St,emergency facu replacement. no other changes.,issued,2023-09-07T11:18:04.000,2023-09-07T09:19:32.000,2023-09-07T11:18:04.000,3,3,7895,7895,school,0,school,0,2,E,E,5,wood frame (5),5,wood frame (5),8,2023-09-07T11:14:17.000,Mission,94110,in-house,Point,-122.425053392,37.76398816,N,1677716497018,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,Y,,,,,
202309076049,3,additions alterations or repairs,2023-09-07T00:00:00.000,1374,012,147,14th,Av,(n) 2-story addition at rear and 1-story deck. interior renovation at 1st & 2nd floors.,filed,2023-09-07T08:24:42.000,2023-09-07T08:24:42.000,,3,3,310633,,1 family dwelling,1,1 family dwelling,1,2,R-3,R-3,5,wood frame (5),5,wood frame (5),1,2023-09-07T08:50:17.000,Outer Richmond,94118,in-house,Point,-122.473535815,37.785372084,N,167770297306,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,,Y,,,,
202309076100,8,otc alterations permit,2023-09-07T00:00:00.000,6604,059,609,Duncan,St,replace 12 windows. new wood clad. full frame install.,issued,2023-09-07T15:45:35.000,2023-09-07T12:23:49.000,2023-09-07T15:45:35.000,3,3,51000,51000,2 family dwelling,2,2 family dwelling,2,0,R-3,R-3,5,wood frame (5),5,wood frame (5),8,2023-09-07T15:23:50.000,Noe Valley,94131,in-house,Point,-122.433828703,37.745501442,N,1677755208962,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,,,,,,
202309076128,8,otc alterations permit,2023-09-07T00:00:00.000,2009,004P,1754,41st,Av,1) removal of wood siding from upper level of facade. 2)dry rot repair. 3) new waterproofing and lath. 4)new stucco,filed,2023-09-07T14:35:21.000,2023-09-07T14:35:21.000,,2,2,14000,14000,1 family dwelling,1,1 family dwelling,1,0,R-3,R-3,5,wood frame (5),5,wood frame (5),4,2023-09-07T15:32:24.000,Sunset/Parkside,94122,in-house,Point,-122.499774909,37.75404799,N,1677787121670,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,,,,,,
202309076095,8,otc alterations permit,2023-09-07T00:00:00.000,0259,026,555,California,St,"49/f: add 19 relocate 84 fire sprinkler per t.i. , ref pa# 202308083931.",filed,2023-09-07T12:07:34.000,2023-09-07T12:07:34.000,,52,52,63973,0,office,,office,,2,B,B,1,constr type 1,1,constr type 1,3,2023-09-07T12:58:08.000,Financial District/South Beach,94104,in-house,Point,-122.403485954,37.792261647,N,1677749298587,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,0,Y,,,,,
202309076133,8,otc alterations permit,2023-09-07T00:00:00.000,0321,030,781,Ofarrell,St,unit #304: convert (e) kitchen to bedroom. relocate kitchen. rehabilitate (e) bathroom. install washer & dryer.,filed,2023-09-07T15:15:25.000,2023-09-07T15:15:25.000,,7,7,77000,88000,apartments,30,apartments,30,2,"R-2,M","R-2,M",3,constr type 3,3,constr type 3,5,2023-09-07T15:46:29.000,Tenderloin,94109,in-house,Point,-122.417509773,37.785000688,N,167779569496,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,,,,,,
202309076046,8,otc alterations permit,2023-09-07T00:00:00.000,0093,019,2108,Leavenworth,St,"sprinkler monitoring fire alarm system, ref pa# 202211045882",issued,2023-09-07T11:08:38.000,2023-09-07T08:16:09.000,2023-09-07T11:08:38.000,4,4,5050,5050,2 family dwelling,2,2 family dwelling,2,2,R-3,R-3,5,wood frame (5),5,wood frame (5),3,2023-09-07T11:08:30.000,Russian Hill,94133,in-house,Point,-122.417362498,37.800568704,N,1677699348441,Y,parcel_centroid,2023-09-07T23:55:00.000,2023-09-08T04:14:49.000,,Y,,,,,
